humidity,temperature,nutrients,date,irrigation_time,duration,sensor_15,target
31.02,31.75,potassio,2024-12-03,07:37,20.875,2,1
20.38,25.79,fosforo,2024-12-03,01:32,17.895,7,1
20.73,30.44,potassio,2024-11-30,21:37,20.22,15,1
60.92,32.61,potassio,2024-11-30,17:07,21.305,11,3
24.32,16.54,fosforo,2024-12-03,03:21,13.27,15,1
27.86,25.28,fosforo,2024-11-30,00:23,17.64,13,1
57.01,25.96,potassio,2024-12-03,04:14,17.98,11,1
73.23,18.3,potassio,2024-11-30,15:53,14.15,2,1
35.03,28.78,potassio,2024-12-04,00:08,19.39,12,1
75.62,23.63,potassio,2024-12-04,07:52,16.814999999999998,14,1
60.09,18.18,fosforo,2024-12-03,11:13,14.09,14,1
64.75,22.33,fosforo,2024-12-03,18:25,16.165,8,3
35.79,29.86,fosforo,2024-12-02,21:32,19.93,9,1
20.19,31.29,fosforo,2024-12-03,19:16,20.645,4,3
51.94,26.68,fosforo,2024-12-02,15:10,18.34,14,1
63.01,29.19,fosforo,2024-12-03,04:15,19.595,4,2
50.47,34.41,fosforo,2024-12-02,09:13,22.205,7,3
35.62,33.55,potassio,2024-12-01,20:30,21.775,2,2
25.17,21.34,fosforo,2024-12-01,12:16,15.67,5,3
69.04,31.76,fosforo,2024-12-04,23:15,20.880000000000003,4,3
23.43,22.1,fosforo,2024-12-03,17:28,16.05,5,1
51.35,25.39,fosforo,2024-12-03,19:16,17.695,3,2
68.01,15.54,fosforo,2024-12-03,20:39,12.77,13,2
65.07,17.27,fosforo,2024-11-30,12:08,13.635,5,2
53.47,15.75,potassio,2024-12-02,17:50,12.875,3,1
74.7,15.99,potassio,2024-12-04,07:13,12.995000000000001,6,1
41.21,22.66,fosforo,2024-12-04,08:25,16.33,2,3
21.24,28.86,potassio,2024-12-01,03:31,19.43,1,1
49.19,16.45,potassio,2024-11-30,18:07,13.225,13,3
51.91,18.53,fosforo,2024-12-01,20:21,14.265,11,1
33.05,31.92,potassio,2024-12-01,18:31,20.96,14,1
43.98,15.92,fosforo,2024-12-03,13:18,12.96,6,1
47.88,32.34,potassio,2024-12-04,16:22,21.17,4,2
20.34,19.07,fosforo,2024-11-30,23:26,14.535,13,1
49.35,34.0,potassio,2024-12-04,15:22,22.0,5,1
71.98,27.26,potassio,2024-11-30,14:31,18.630000000000003,7,2
20.84,34.29,fosforo,2024-12-03,13:41,22.145,5,2
61.72,27.41,potassio,2024-12-02,05:25,18.705,9,3
32.56,19.91,potassio,2024-12-01,10:06,14.955,9,2
64.04,31.86,potassio,2024-12-03,11:58,20.93,12,3
56.73,29.19,potassio,2024-12-04,16:50,19.595,1,3
24.31,28.97,fosforo,2024-12-04,14:04,19.485,9,1
23.3,18.87,potassio,2024-11-30,04:09,14.435,4,1
74.5,19.49,fosforo,2024-11-30,02:06,14.745,9,3
73.58,21.04,potassio,2024-12-04,16:36,15.52,14,1
46.84,15.48,potassio,2024-11-30,23:47,12.74,3,1
37.17,19.82,fosforo,2024-11-30,21:39,14.91,9,3
65.49,31.37,fosforo,2024-12-01,01:00,20.685000000000002,10,2
30.06,32.42,potassio,2024-12-04,15:21,21.21,14,2
59.05,23.13,potassio,2024-12-02,14:31,16.564999999999998,5,1
42.12,18.39,potassio,2024-12-04,08:36,14.195,10,2
48.3,29.69,potassio,2024-12-04,03:28,19.845,2,2
77.28,18.14,fosforo,2024-12-01,02:57,14.07,7,3
65.39,30.44,fosforo,2024-12-03,18:20,20.22,3,3
38.97,30.31,fosforo,2024-12-01,03:20,20.155,3,3
41.27,24.27,potassio,2024-12-02,03:35,17.134999999999998,14,3
58.97,24.14,potassio,2024-12-03,01:59,17.07,1,3
38.86,26.77,fosforo,2024-12-02,06:49,18.384999999999998,1,1
69.15,27.15,potassio,2024-12-04,00:58,18.575,12,3
77.28,22.38,fosforo,2024-11-30,09:32,16.189999999999998,1,3
49.25,31.7,potassio,2024-11-30,03:09,20.85,6,1
65.9,20.37,fosforo,2024-12-01,16:49,15.185,1,1
26.36,19.11,potassio,2024-12-03,03:01,14.555,5,3
47.69,24.19,potassio,2024-12-01,14:40,17.095,1,2
52.49,22.57,fosforo,2024-12-03,19:37,16.285,4,3
47.49,29.34,fosforo,2024-12-02,13:28,19.67,10,3
42.55,34.06,fosforo,2024-12-04,10:41,22.03,7,3
76.08,32.22,potassio,2024-11-30,08:32,21.11,6,1
33.27,21.7,potassio,2024-12-01,19:35,15.85,10,1
43.7,16.95,potassio,2024-12-03,11:39,13.475,1,3
68.05,27.09,fosforo,2024-12-04,20:20,18.545,12,1
65.84,21.06,fosforo,2024-12-01,21:27,15.53,14,3
42.16,16.11,potassio,2024-11-30,11:25,13.055,2,2
39.91,27.42,fosforo,2024-12-02,17:08,18.71,6,1
35.42,23.69,fosforo,2024-12-03,10:46,16.845,15,1
33.27,24.1,potassio,2024-12-04,07:37,17.05,7,3
40.37,16.4,potassio,2024-12-03,02:13,13.2,13,2
66.77,18.09,fosforo,2024-12-04,03:03,14.045,8,3
29.73,25.57,fosforo,2024-11-30,22:57,17.785,8,2
55.26,34.04,fosforo,2024-11-30,00:47,22.02,10,2
69.48,23.71,fosforo,2024-12-03,07:55,16.855,9,2
51.54,16.08,potassio,2024-12-03,07:37,13.04,15,1
54.3,16.4,potassio,2024-11-30,18:11,13.2,5,1
53.74,18.27,potassio,2024-11-30,11:06,14.135,4,3
40.34,22.78,fosforo,2024-12-03,00:09,16.39,3,2
55.49,33.14,potassio,2024-11-30,05:17,21.57,7,2
70.94,33.43,potassio,2024-12-02,15:41,21.715,9,1
72.1,20.16,potassio,2024-11-30,20:21,15.08,2,3
34.81,29.95,fosforo,2024-11-30,14:39,19.975,5,3
42.04,31.6,potassio,2024-12-01,23:10,20.8,10,2
54.93,21.39,potassio,2024-12-03,18:05,15.695,13,1
59.64,27.4,fosforo,2024-12-01,08:47,18.7,10,1
56.18,23.09,potassio,2024-12-02,01:32,16.545,1,1
55.23,17.3,potassio,2024-12-04,00:07,13.65,13,3
76.41,34.76,fosforo,2024-12-02,20:28,22.38,13,1
51.62,23.4,fosforo,2024-11-30,10:52,16.7,3,3
42.49,34.63,potassio,2024-12-04,18:13,22.315,14,2
35.31,29.07,fosforo,2024-12-04,03:40,19.535,1,3
44.07,30.89,fosforo,2024-11-30,06:01,20.445,12,2
40.2,21.58,fosforo,2024-12-03,04:51,15.79,7,2
74.12,33.42,potassio,2024-11-30,03:13,21.71,12,1
72.74,18.75,fosforo,2024-11-30,21:55,14.375,2,1
40.51,29.56,fosforo,2024-12-03,16:31,19.78,4,3
25.17,19.4,potassio,2024-12-01,16:32,14.7,2,3
68.89,26.65,potassio,2024-11-30,14:59,18.325,14,3
73.81,22.78,fosforo,2024-12-04,19:45,16.39,10,2
78.66,27.79,potassio,2024-11-30,03:38,18.895,6,3
27.77,24.25,fosforo,2024-12-02,18:16,17.125,5,1
21.63,34.34,potassio,2024-12-04,15:29,22.17,3,1
25.44,24.15,potassio,2024-12-02,02:31,17.075,6,2
48.58,27.23,fosforo,2024-12-01,00:35,18.615000000000002,3,2
47.72,20.88,fosforo,2024-11-30,02:52,15.44,14,2
69.34,27.39,fosforo,2024-12-01,05:22,18.695,7,3
52.5,25.98,fosforo,2024-12-03,18:15,17.990000000000002,7,1
49.14,23.77,potassio,2024-12-03,00:09,16.884999999999998,5,2
26.38,30.29,potassio,2024-12-03,12:05,20.145,14,3
22.64,25.1,fosforo,2024-11-30,11:07,17.55,4,3
33.4,18.82,potassio,2024-11-30,21:57,14.41,5,3
53.77,30.5,fosforo,2024-12-04,14:11,20.25,6,2
45.56,34.24,fosforo,2024-12-01,22:28,22.12,5,1
58.54,30.34,fosforo,2024-12-02,18:21,20.17,13,1
65.0,21.16,fosforo,2024-11-30,12:56,15.58,6,3
38.06,28.95,fosforo,2024-11-30,22:10,19.475,1,3
79.93,16.6,fosforo,2024-12-01,10:43,13.3,5,1
30.05,32.27,potassio,2024-12-01,17:33,21.135,6,2
23.44,22.36,fosforo,2024-12-04,01:17,16.18,5,3
69.72,32.91,fosforo,2024-12-02,00:42,21.455,15,2
41.12,17.93,potassio,2024-12-04,10:03,13.965,4,3
42.7,15.16,potassio,2024-11-30,16:53,12.58,13,2
64.52,33.4,fosforo,2024-12-01,01:17,21.7,7,1
58.72,18.8,potassio,2024-12-03,23:19,14.4,7,2
72.39,33.17,potassio,2024-12-04,07:49,21.585,5,3
46.61,34.22,potassio,2024-12-02,11:05,22.11,14,3
29.48,26.56,fosforo,2024-12-01,07:30,18.28,6,3
72.59,29.22,fosforo,2024-12-03,19:22,19.61,7,1
37.61,27.92,fosforo,2024-12-03,23:47,18.96,12,1
77.21,29.73,potassio,2024-12-03,10:40,19.865000000000002,8,2
32.01,15.27,potassio,2024-12-01,15:32,12.635,2,1
38.37,31.16,potassio,2024-12-01,13:56,20.58,8,1
65.87,18.14,fosforo,2024-12-03,23:15,14.07,2,2
48.24,26.69,potassio,2024-11-30,07:13,18.345,13,3
68.7,32.79,potassio,2024-12-01,21:58,21.395,4,2
66.35,17.06,fosforo,2024-12-02,15:27,13.53,7,3
28.73,26.71,fosforo,2024-12-02,17:20,18.355,13,3
76.26,24.18,fosforo,2024-12-04,21:18,17.09,4,1
67.16,26.52,potassio,2024-12-03,06:25,18.259999999999998,9,3
28.9,17.56,fosforo,2024-11-30,14:20,13.78,8,2
21.94,23.88,potassio,2024-12-04,02:30,16.939999999999998,8,1
51.02,34.86,potassio,2024-12-01,08:34,22.43,3,1
68.65,26.25,potassio,2024-12-04,09:15,18.125,6,1
76.44,15.84,potassio,2024-11-30,16:42,12.92,6,2
25.08,31.22,fosforo,2024-12-04,00:06,20.61,7,2
20.76,25.58,potassio,2024-11-30,16:32,17.79,2,1
73.27,26.88,fosforo,2024-12-04,01:55,18.439999999999998,3,3
51.7,22.91,potassio,2024-12-03,22:40,16.455,13,2
36.87,26.39,potassio,2024-12-01,19:30,18.195,14,1
55.16,18.61,fosforo,2024-12-01,16:24,14.305,8,1
46.52,17.12,potassio,2024-12-02,12:43,13.56,5,2
60.76,25.84,potassio,2024-12-02,09:44,17.92,3,1
60.59,19.43,potassio,2024-12-01,03:12,14.715,9,1
30.95,24.89,potassio,2024-12-03,14:38,17.445,8,3
22.34,32.57,fosforo,2024-12-04,21:37,21.285,4,2
49.28,15.86,fosforo,2024-12-03,15:32,12.93,5,1
48.92,16.25,potassio,2024-12-04,08:26,13.125,12,1
69.09,19.02,potassio,2024-12-02,22:18,14.51,14,1
34.02,23.57,potassio,2024-12-01,18:27,16.785,5,3
48.1,18.33,potassio,2024-12-01,01:06,14.165,8,1
73.62,29.14,potassio,2024-12-04,03:01,19.57,1,2
54.15,18.22,fosforo,2024-12-02,03:24,14.11,8,2
70.5,34.05,fosforo,2024-11-30,15:41,22.025,12,2
63.12,23.43,fosforo,2024-12-02,06:02,16.715,3,2
74.37,19.19,potassio,2024-12-03,06:39,14.595,12,3
31.74,22.76,fosforo,2024-12-01,13:56,16.380000000000003,3,3
28.08,15.01,potassio,2024-12-02,06:11,12.504999999999999,7,2
65.16,28.75,fosforo,2024-12-02,03:55,19.375,10,1
47.23,32.6,fosforo,2024-12-03,16:49,21.3,11,1
39.23,21.63,fosforo,2024-12-04,19:25,15.815,5,3
75.78,27.78,potassio,2024-12-04,11:50,18.89,14,3
58.75,19.7,potassio,2024-12-04,20:55,14.85,15,3
42.81,27.31,potassio,2024-11-30,12:39,18.655,5,3
72.22,33.23,potassio,2024-12-04,12:38,21.615,6,1
35.91,28.39,fosforo,2024-12-03,00:48,19.195,12,3
54.54,21.23,potassio,2024-12-04,01:18,15.615,3,1
69.84,34.94,fosforo,2024-12-01,22:40,22.47,11,2
39.2,34.28,fosforo,2024-12-02,02:41,22.14,8,1
55.41,31.63,fosforo,2024-12-04,10:46,20.814999999999998,12,2
36.25,16.74,potassio,2024-11-30,09:33,13.37,12,1
32.15,22.97,fosforo,2024-11-30,15:27,16.485,3,1
20.18,25.48,potassio,2024-12-02,03:54,17.740000000000002,15,2
76.08,25.27,fosforo,2024-12-02,18:57,17.634999999999998,3,3
37.9,26.6,fosforo,2024-12-01,05:51,18.3,2,2
22.15,30.47,potassio,2024-12-03,09:39,20.235,1,3
40.64,28.6,fosforo,2024-12-04,10:23,19.3,6,1
53.91,27.35,potassio,2024-12-01,09:15,18.675,9,1
67.88,26.29,potassio,2024-12-01,15:27,18.145,4,1
23.84,18.66,fosforo,2024-12-04,17:37,14.33,13,3
67.5,19.48,potassio,2024-12-02,18:23,14.74,12,3
72.55,17.34,potassio,2024-12-03,10:54,13.67,7,1
42.26,32.93,fosforo,2024-12-01,17:58,21.465,14,3
47.22,17.42,fosforo,2024-12-02,09:57,13.71,15,3
26.34,23.96,fosforo,2024-11-30,20:08,16.98,10,1
36.15,29.56,potassio,2024-12-04,04:39,19.78,9,2
37.11,15.88,fosforo,2024-12-04,17:29,12.940000000000001,10,1
77.94,29.45,fosforo,2024-12-03,20:50,19.725,14,2
59.33,28.69,fosforo,2024-11-30,17:11,19.345,15,1
78.45,27.39,fosforo,2024-12-02,05:20,18.695,9,2
63.68,25.82,fosforo,2024-12-03,10:33,17.91,3,3
75.67,17.12,potassio,2024-12-04,19:01,13.56,13,2
40.45,29.31,fosforo,2024-12-02,17:32,19.655,13,3
75.14,26.95,potassio,2024-12-02,18:48,18.475,13,2
21.09,18.18,fosforo,2024-12-02,07:38,14.09,1,1
31.43,25.38,potassio,2024-12-01,10:11,17.689999999999998,7,3
76.26,25.76,fosforo,2024-12-04,07:00,17.880000000000003,4,1
24.2,33.84,potassio,2024-12-01,09:23,21.92,10,2
47.32,17.71,fosforo,2024-12-01,04:59,13.855,14,3
75.45,22.36,fosforo,2024-12-03,18:16,16.18,14,3
25.01,33.5,potassio,2024-12-03,20:35,21.75,10,1
56.2,19.01,fosforo,2024-12-01,19:17,14.505,7,1
42.14,26.92,potassio,2024-12-04,15:09,18.46,8,3
53.75,17.56,potassio,2024-12-04,01:23,13.78,6,1
48.72,27.07,fosforo,2024-12-02,20:13,18.535,12,1
35.07,18.39,fosforo,2024-12-02,02:33,14.195,3,2
28.23,19.25,potassio,2024-12-02,20:49,14.625,12,3
37.37,34.56,fosforo,2024-12-03,22:29,22.28,13,3
53.63,23.0,fosforo,2024-12-02,09:58,16.5,2,2
20.34,21.88,potassio,2024-12-04,04:39,15.94,7,3
65.47,29.22,potassio,2024-12-02,18:55,19.61,7,2
70.73,31.14,potassio,2024-12-04,21:00,20.57,2,2
39.56,32.48,fosforo,2024-12-01,12:00,21.24,13,3
39.36,28.35,potassio,2024-11-30,23:26,19.175,15,2
33.93,33.48,fosforo,2024-12-01,12:14,21.74,13,2
38.85,18.54,potassio,2024-12-04,03:28,14.27,11,2
79.56,33.67,potassio,2024-12-03,07:03,21.835,4,2
21.53,33.03,potassio,2024-12-03,21:07,21.515,13,1
57.0,25.11,potassio,2024-12-01,08:08,17.555,6,3
53.37,28.65,fosforo,2024-12-02,22:06,19.325,12,1
33.5,22.6,fosforo,2024-11-30,23:38,16.3,14,1
72.4,25.21,fosforo,2024-12-01,20:56,17.605,12,2
38.29,17.95,potassio,2024-12-01,10:14,13.975,9,3
20.76,31.7,potassio,2024-12-01,06:42,20.85,8,3
79.83,32.61,fosforo,2024-12-04,18:13,21.305,12,2
70.21,32.42,fosforo,2024-12-03,01:08,21.21,1,2
32.68,25.96,fosforo,2024-12-01,22:15,17.98,1,1
30.69,25.62,potassio,2024-12-04,17:56,17.810000000000002,6,1
53.52,21.6,potassio,2024-12-03,04:34,15.8,10,3
78.13,23.38,potassio,2024-12-01,14:00,16.689999999999998,13,1
50.73,23.94,potassio,2024-12-02,01:49,16.97,6,3
41.52,17.71,fosforo,2024-12-04,17:56,13.855,9,1
52.06,25.04,potassio,2024-12-03,13:03,17.52,9,2
36.36,17.88,fosforo,2024-11-30,23:15,13.94,10,3
29.28,18.45,fosforo,2024-12-03,13:00,14.225,14,2
77.99,33.05,potassio,2024-12-01,16:37,21.525,11,1
66.69,20.46,potassio,2024-12-04,01:45,15.23,8,1
73.67,28.34,potassio,2024-12-01,05:02,19.17,14,2
63.47,28.73,potassio,2024-11-30,15:51,19.365000000000002,5,1
57.75,16.27,potassio,2024-12-01,06:28,13.135,11,3
39.59,27.29,fosforo,2024-11-30,11:55,18.645,8,1
34.98,23.86,potassio,2024-12-01,17:24,16.93,6,1
71.11,32.02,fosforo,2024-11-30,11:47,21.01,11,1
30.6,31.58,fosforo,2024-12-02,02:19,20.79,12,1
75.34,26.32,fosforo,2024-12-03,06:26,18.16,7,2
43.27,26.22,potassio,2024-12-01,04:54,18.11,7,1
33.45,31.79,potassio,2024-12-04,00:24,20.895,9,2
50.78,19.52,potassio,2024-11-30,12:53,14.76,15,2
34.64,23.62,fosforo,2024-12-01,09:32,16.810000000000002,8,2
29.94,22.3,potassio,2024-12-02,15:12,16.15,12,3
28.25,23.19,potassio,2024-12-02,04:39,16.595,15,3
65.94,28.64,fosforo,2024-12-01,18:17,19.32,2,1
23.85,33.05,fosforo,2024-12-01,14:57,21.525,3,3
36.54,20.53,fosforo,2024-12-03,15:37,15.265,5,2
62.54,19.39,fosforo,2024-12-01,22:43,14.695,10,1
70.95,34.69,fosforo,2024-11-30,17:13,22.345,6,1
42.77,23.77,potassio,2024-12-01,14:28,16.884999999999998,6,1
69.23,18.94,potassio,2024-12-03,22:45,14.47,4,1
38.36,29.91,fosforo,2024-12-03,09:17,19.955,7,3
30.59,34.91,potassio,2024-12-02,14:19,22.455,11,2
62.05,15.53,potassio,2024-12-02,08:21,12.765,6,1
76.58,32.81,fosforo,2024-12-03,09:20,21.405,3,1
46.64,34.39,potassio,2024-12-02,03:09,22.195,3,3
26.99,15.75,potassio,2024-12-04,17:11,12.875,2,3
22.34,24.24,potassio,2024-11-30,08:09,17.119999999999997,10,1
76.21,21.89,fosforo,2024-12-01,16:44,15.945,15,3
52.67,18.91,fosforo,2024-12-01,06:19,14.455,3,3
53.8,21.12,potassio,2024-12-03,22:16,15.56,13,3
70.04,30.05,fosforo,2024-11-30,22:16,20.025,8,1
27.23,15.15,fosforo,2024-11-30,05:01,12.575,9,1
45.14,25.92,potassio,2024-12-04,18:48,17.96,8,3
39.59,27.74,fosforo,2024-12-02,05:31,18.869999999999997,2,2
46.35,15.87,fosforo,2024-12-04,14:57,12.934999999999999,1,2
76.32,22.04,fosforo,2024-12-02,19:13,16.02,15,3
63.56,23.34,potassio,2024-12-01,10:05,16.67,13,1
53.04,22.65,potassio,2024-12-03,08:05,16.325,3,2
36.8,27.22,fosforo,2024-11-30,06:54,18.61,3,1
38.06,25.93,fosforo,2024-12-01,19:33,17.965,12,1
68.08,32.42,fosforo,2024-12-03,20:36,21.21,8,1
67.69,24.01,potassio,2024-12-01,01:00,17.005000000000003,4,2
79.5,29.85,potassio,2024-12-02,07:55,19.925,12,1
61.62,26.44,potassio,2024-12-02,13:49,18.22,11,2
60.39,17.74,fosforo,2024-12-03,06:52,13.87,9,2
38.99,30.78,potassio,2024-11-30,10:35,20.39,10,1
72.08,18.7,fosforo,2024-12-01,16:45,14.35,9,2
75.93,24.19,potassio,2024-12-03,19:30,17.095,11,2
25.94,32.59,fosforo,2024-11-30,17:52,21.295,2,2
24.48,26.54,fosforo,2024-12-01,17:45,18.27,7,2
48.74,25.77,fosforo,2024-12-03,08:28,17.884999999999998,8,1
49.66,24.78,fosforo,2024-12-03,08:43,17.39,14,1
39.31,30.7,fosforo,2024-11-30,14:54,20.35,4,3
27.58,15.93,potassio,2024-11-30,03:52,12.965,15,2
74.48,29.49,potassio,2024-12-02,01:37,19.744999999999997,1,2
28.95,29.29,potassio,2024-12-04,02:08,19.645,6,1
20.26,21.28,fosforo,2024-11-30,14:35,15.64,1,3
79.03,27.06,potassio,2024-12-02,10:40,18.53,15,2
64.47,16.17,potassio,2024-12-02,00:21,13.085,11,3
43.19,17.35,fosforo,2024-12-02,19:53,13.675,10,2
22.79,24.45,fosforo,2024-11-30,10:51,17.225,10,2
32.77,22.91,potassio,2024-11-30,04:11,16.455,9,1
26.66,21.21,potassio,2024-11-30,07:49,15.605,14,3
73.01,17.93,fosforo,2024-12-01,13:27,13.965,2,3
61.71,29.66,fosforo,2024-12-04,22:18,19.83,13,3
51.97,29.08,potassio,2024-12-01,04:10,19.54,11,1
77.87,19.78,potassio,2024-12-01,14:37,14.89,5,1
64.12,16.11,potassio,2024-12-02,02:26,13.055,12,1
78.72,24.93,fosforo,2024-12-01,06:18,17.465,9,3
34.43,18.75,potassio,2024-12-03,23:23,14.375,2,3
50.65,22.21,potassio,2024-12-01,01:17,16.105,13,3
54.91,20.7,fosforo,2024-12-04,04:19,15.35,6,2
57.49,26.04,potassio,2024-11-30,13:30,18.02,5,3
76.84,27.87,fosforo,2024-12-02,16:07,18.935000000000002,5,1
45.68,18.62,potassio,2024-12-04,21:31,14.31,5,1
22.74,30.29,fosforo,2024-12-03,10:11,20.145,14,1
72.88,18.64,fosforo,2024-12-04,23:23,14.32,1,1
53.62,32.1,fosforo,2024-12-02,14:05,21.05,4,3
30.17,29.52,fosforo,2024-12-04,03:32,19.759999999999998,12,2
68.52,24.59,fosforo,2024-11-30,20:12,17.295,4,2
64.11,34.73,fosforo,2024-11-30,20:00,22.365,6,1
20.91,28.83,potassio,2024-12-02,11:00,19.415,4,3
51.84,33.74,fosforo,2024-12-03,16:29,21.87,12,1
73.76,24.71,fosforo,2024-12-04,01:22,17.355,12,3
72.24,27.91,potassio,2024-12-01,01:58,18.955,4,2
55.62,27.47,fosforo,2024-12-03,19:52,18.735,9,3
73.32,23.94,potassio,2024-11-30,08:14,16.97,8,2
56.6,18.33,fosforo,2024-12-01,17:54,14.165,15,2
42.95,18.39,fosforo,2024-11-30,09:24,14.195,5,2
69.4,23.81,fosforo,2024-11-30,01:48,16.905,12,3
57.6,26.74,fosforo,2024-12-04,16:28,18.369999999999997,9,3
73.91,25.21,fosforo,2024-12-03,05:32,17.605,7,2
33.09,24.32,potassio,2024-12-02,11:53,17.16,12,1
54.48,20.81,potassio,2024-12-02,09:25,15.405,3,3
43.2,23.03,potassio,2024-12-02,22:57,16.515,8,3
63.53,24.61,fosforo,2024-12-02,22:17,17.305,5,1
76.43,34.64,potassio,2024-11-30,13:21,22.32,12,3
27.91,19.48,fosforo,2024-12-03,13:19,14.74,7,1
69.1,20.65,fosforo,2024-11-30,18:26,15.325,3,1
23.28,16.99,fosforo,2024-11-30,08:16,13.495,4,3
40.65,34.09,potassio,2024-12-04,20:09,22.045,6,2
58.09,26.09,potassio,2024-11-30,18:53,18.045,5,2
30.98,24.98,fosforo,2024-12-02,19:00,17.490000000000002,12,1
73.69,16.04,potassio,2024-12-02,21:41,13.02,12,3
40.25,24.86,fosforo,2024-12-04,04:46,17.43,5,1
26.72,17.8,potassio,2024-12-04,07:12,13.9,13,3
23.11,17.71,potassio,2024-12-01,13:04,13.855,6,1
45.96,23.16,fosforo,2024-12-01,00:54,16.58,5,3
77.12,24.07,fosforo,2024-12-02,13:36,17.035,1,1
49.49,26.07,potassio,2024-12-03,03:23,18.035,3,3
70.35,30.29,fosforo,2024-12-03,12:43,20.145,1,2
43.54,16.71,fosforo,2024-12-01,01:24,13.355,4,3
57.16,31.13,fosforo,2024-12-01,18:32,20.564999999999998,13,2
29.98,15.75,fosforo,2024-12-02,17:05,12.875,12,2
62.71,19.07,fosforo,2024-12-02,03:29,14.535,11,1
41.25,24.68,potassio,2024-12-01,13:41,17.34,4,1
77.18,21.76,fosforo,2024-12-02,16:04,15.88,9,3
71.92,33.35,potassio,2024-12-04,02:57,21.675,9,2
48.33,33.93,potassio,2024-11-30,06:11,21.965,2,3
71.79,31.12,potassio,2024-12-01,06:51,20.560000000000002,10,3
51.17,33.56,potassio,2024-12-01,13:02,21.78,6,2
78.96,28.45,fosforo,2024-11-30,21:42,19.225,5,2
45.44,28.69,fosforo,2024-12-01,13:13,19.345,7,2
61.94,30.65,potassio,2024-12-03,10:45,20.325,13,2
65.37,25.02,fosforo,2024-11-30,14:17,17.509999999999998,9,2
76.89,25.11,fosforo,2024-11-30,13:00,17.555,10,1
51.71,22.87,potassio,2024-12-01,03:38,16.435000000000002,15,2
65.08,16.13,potassio,2024-12-02,04:24,13.065,4,2
72.22,34.1,fosforo,2024-12-03,01:48,22.05,11,1
45.23,31.06,potassio,2024-12-01,21:06,20.53,2,2
40.01,18.06,potassio,2024-11-30,10:11,14.03,7,3
35.53,15.38,fosforo,2024-12-01,02:25,12.690000000000001,14,2
63.85,34.02,potassio,2024-11-30,09:24,22.01,7,2
25.73,18.12,potassio,2024-12-03,20:19,14.06,12,3
65.29,23.74,potassio,2024-12-04,15:24,16.869999999999997,11,1
74.24,23.56,fosforo,2024-12-02,10:26,16.78,2,2
62.92,27.63,potassio,2024-12-02,10:43,18.814999999999998,3,2
69.38,18.75,fosforo,2024-11-30,19:35,14.375,5,1
57.04,31.75,potassio,2024-12-02,09:20,20.875,8,3
76.53,33.34,potassio,2024-12-03,10:22,21.67,15,1
34.92,34.76,potassio,2024-12-02,03:14,22.38,11,2
28.55,18.77,potassio,2024-12-03,01:52,14.385,9,3
23.25,34.29,potassio,2024-11-30,02:35,22.145,4,1
74.64,16.13,potassio,2024-12-02,19:07,13.065,5,1
46.63,17.86,fosforo,2024-12-03,17:11,13.93,5,2
